id,created_at,text,lang,conversation_id,reply_settings,referenced_tweets,in_reply_to_user_id,source,author_id,public_metrics,geo
1560364876853280770,2022-08-18T20:35:51.000Z,"@EJGSH @ZARA I tried, literally nobody gives a shit. I’m so pissed $40 pants and they’re just like “sorry buy a new pair”",en,1560344787659661312,everyone,"[{'type': 'replied_to', 'id': '1560354922603872257'}]",30011210,Twitter for iPhone,23023560,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",
1560349998528724995,2022-08-18T19:36:44.000Z,Are @ZARA kids clothes true to size? or a little smaller?,en,1560349998528724995,everyone,,,Twitter for iPhone,1162452050896203776,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1560344787659661312,2022-08-18T19:16:01.000Z,Bought a pair of pants from @ZARA had them for two weeks before a hole ripped in the seam. I didn’t have my receipt and they told my there was nothing they could do. Greedy fucks with shit quality clothing.,en,1560344787659661312,everyone,,,Twitter for iPhone,23023560,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",
1560263688048689152,2022-08-18T13:53:46.000Z,"@climatecorporat @ZARA @UniqloUSA @hm Anything. Thats produced for mass individual consumption cannot be sustainable . Bottled water, cars, packaged food, Clothes , shoes , Mobile , TV  , Tablets . Everything adds to Waste dump. Faster than ever before.",en,1560238655033053184,everyone,"[{'type': 'replied_to', 'id': '1560241550139195392'}]",1403415957662437376,Twitter for Android,2837589067,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",
1560035225190776846,2022-08-17T22:45:56.000Z,"Disappointing service from @ZARA.  
Ordered a pair of trousers online and a pair of cargo pants showed up at my door 😱. Same barcode, so clearly issues at warehousing process. 
Please sort ASAP. https://t.co/vMe4JlT5Hf",en,1560035225190776846,mentionedUsers,,,Twitter for Android,1433752245242408964,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1560014765300371457,2022-08-17T21:24:38.000Z,"@ZARA I bought a dark khaki bodysuit at Zara. I followed the instructions to wash it, but the colour of my bodysuit came out and it stained to my other clothes. My bodysuit is dark in someplace and light in someplace. The main thing is I haven’t even worn it. https://t.co/eLA88o2OoK",en,1560014765300371457,mentionedUsers,,346742249,Twitter for iPhone,867889480031756288,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559965489400528896,2022-08-17T18:08:50.000Z,@UnderRynovation @ZARA Girl they gave me the whole run around talking about I couldn’t return a shirt that was damaged when they sold it to me and tried to say it was me,en,1556650725157081089,everyone,"[{'type': 'replied_to', 'id': '1556660210017648641'}]",173473168,Twitter for iPhone,158125606,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559782824659542016,2022-08-17T06:02:59.000Z,"@ZARA Zara, I'm a huge fan of your clothes, as are so many of my friends, none of us are a size 6 or 8, please add some variation in your models so we can get a better idea what clothes look like on our size bodies",en,1557713473580068864,everyone,"[{'type': 'replied_to', 'id': '1557713473580068864'}]",346742249,Twitter for Android,1444055804492013575,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559709553830137856,2022-08-17T01:11:50.000Z,@CaroleGillis @Lammles @Wrangler Ooof I had a fight with Zara over something similar. Finally told them forget it and my mom fixed the hole. Customer service was abysmal and @ZARA lost a customer for life over a pair of $50 jeans. Hope it was worth it for them cuz my kid sure likes to spend money on clothes😂,en,1559696919751888896,everyone,"[{'type': 'replied_to', 'id': '1559696919751888896'}]",41591669,Twitter for iPhone,1666841995,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
1559669056684294145,2022-08-16T22:30:55.000Z,@zara fuck you for not letting buy my skirt,en,1559669056684294145,everyone,,346742249,Twitter for iPhone,1456093411228987395,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559658728223301641,2022-08-16T21:49:52.000Z,Queen B said it best 💅🏽✨ Dress is from @zara Heels @express Watch is @mvmtforher #grwmreel #fashionstyle #zaradress #pinkoutfit #goingoutoutfit #datenightoutfit https://t.co/t0klk5Ofyi,en,1559658728223301641,everyone,,,RepurposeIO,887452688727896069,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559629846967242755,2022-08-16T19:55:06.000Z,"💚

Jeans: @zara 
Shoe: @zara 
Shirt: @degeorgescouture 
Watch: @casiovintage_eu 

#slimchoko #chokovibes #fashiontrend #summeroutfit #modelsearch #zaraoutfit #zaramen #zarachocolate @ Northampton, Northamptonshire https://t.co/mYhtD4xCxd",en,1559629846967242755,everyone,,,Instagram,89204921,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '28b6432fb1eac6d4', 'coordinates': {'type': 'Point', 'coordinates': [-0.8981, 52.2428]}}"
1559628987248570369,2022-08-16T19:51:41.000Z,"Bella Vita 🌺
———
Top: @freepeople 
Pants: @targetstyle 
Sandals: @zara 
Sunnies: @amazonfashion 
Mood: chill getaway.
Photos: @ruzz 🌺
#makeupbyjesi https://t.co/TVKGPCmmXM",en,1559628987248570369,everyone,,,Instagram,284282164,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559619529310871553,2022-08-16T19:14:06.000Z,"breezy summer vibe 🕊🧺
Parkdale: @ZARA cot/poly/visc dress size S $38, sunnies $15, woven handbag $24 and Rockey Dog cork wedges size 10 $24 #thriftshop https://t.co/GwHqxJH9oR",en,1559619529310871553,everyone,,,Twitter for iPhone,45159726,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
1559476090216730626,2022-08-16T09:44:08.000Z,"@ZARA @ZARA_Care Have purchased clothes worth INR 50,000 from you &amp; your store is not ready to accept returns. You say 30 day return policy but that is a big scam. Your customer support is helpless and rude. Very disappointed with this experience. ORDER Id: 52950094142
#pathetic",en,1559476090216730626,everyone,,346742249,Twitter Web App,209368188,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559338645772967936,2022-08-16T00:37:58.000Z,@ZARA can I get free clothes for finding your website’s typos #lenght https://t.co/roDRNz0jql,en,1559338645772967936,everyone,,346742249,Twitter for iPhone,750078597545627648,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559335474929360896,2022-08-16T00:25:22.000Z,"@TheSocialCTV @ZARA @Simone_Rocha_ @CHANEL @The_Kooples @aliceandolivia @SteveMadden @31philliplim @GreymerOfficial Fall colours already why the rush.Cute Melissa surprise no mini skirt,lol",en,1559268696824193024,everyone,"[{'type': 'replied_to', 'id': '1559268696824193024'}]",1245158946,Twitter Web App,1518991853533622272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559321996667895809,2022-08-15T23:31:49.000Z,@ZARA I ordered the 1st dress (only offered in paisley) and received the 2nd. Customer support refused to waive the return fee for a dress I did not order and told me that I “received the correct dress.” 🤯 Accusing your customers of lying isn’t a good look - please fix this. https://t.co/sJjM4PxuwG,en,1559321996667895809,everyone,,346742249,Twitter for iPhone,243868052,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559316683453448192,2022-08-15T23:10:42.000Z,.@Zara. The second thing that maybe you shouldn’t do is call over another colleague who doubles down and tells the kid clutching a pair of jeans that they need to go to the mens fitting room if trying on mens clothes (the jeans were from your womens department fyi) @ZARA_Care,en,1559315661565730817,everyone,"[{'type': 'replied_to', 'id': '1559315661565730817'}]",18142537,Twitter Web App,18142537,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559268696824193024,2022-08-15T20:00:01.000Z,"This is us kicking off the last week of Season 9!!!! 🥳

Mel
Outfit: @ZARA 

Lainey 
Dress: @Simone_Rocha_
Shoes: @CHANEL 

Cynthia 
Top: @The_Kooples
Pants: @aliceandolivia
Shoes: @SteveMadden

Andrea
Dress: @31philliplim
Shoes: @GreymerOfficial

#WhatWeWore #OOTD https://t.co/ElQ4xX0nUT",en,1559268696824193024,everyone,,,Twitter Web App,1245158946,"{'retweet_count': 2, 'reply_count': 5, 'like_count': 18, 'quote_count': 0}",
1559244161659932672,2022-08-15T18:22:32.000Z,@ZARA ilsym for my kids clothes but pls pls pls build a functioning website.,en,1559244161659932672,everyone,,346742249,Twitter for iPhone,117858927,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559219940368027652,2022-08-15T16:46:17.000Z,"1/
Web3 Fashion by day 💃🏻  and NFT Fashion by night 🦸🏻‍♀️

💃🏻 Day 
@MAVIONworld necklace
@ZARA top, skirt
@nike dunks, bag

🦸🏻‍♀️ Night
@ZARA Top, Blazer, Pants
@Nike dunks
Bottega Bag

Which one do you like better?
💃Day or 🦸‍♀️Night?

#fashion #web3fashion #fitcheck https://t.co/3qb6ML7wJ2",en,1559219376108306432,everyone,"[{'type': 'replied_to', 'id': '1559219376108306432'}]",1482476401747976194,Twitter Web App,1482476401747976194,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",
1559217165387046914,2022-08-15T16:35:15.000Z,"@ZARA I deserve a discount code or something. A free return label, and a refund isn’t enough. Now I have to wait 3-7 business days for that money back, and now I’m out a dress for my vacation. Without any real time to find a replacement. https://t.co/S16FERKGck",en,1559217165387046914,everyone,,346742249,Twitter for iPhone,248489436,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1559216697743216641,2022-08-15T16:33:24.000Z,Ordered a dress for my vacation from @zara … tell me why this is what they sent me. https://t.co/pCEldoqXxV,en,1559216697743216641,everyone,,,Twitter for iPhone,248489436,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1559216111031304192,2022-08-15T16:31:04.000Z,"Look at shirt in @ZARA when @goodmindsnft TV’s and breads, et cetera on these shirts??? Make these connects! Your art is Superior 💜 https://t.co/B8dAqVHbrb",en,1559216111031304192,everyone,,,Twitter for iPhone,1502689995991269385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",
1559169135317319681,2022-08-15T13:24:24.000Z,@ZARA shirt arriving creased to hell is one thing but burn marks on front and back? Immediate return #badquality https://t.co/xPYXDyd3wq,en,1559169135317319681,everyone,,346742249,Twitter for iPhone,21354066,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",
1559061807125262337,2022-08-15T06:17:55.000Z,"Let your spirit Fly with Peace, Happiness and Positivity
Green is so cool, so zen and yet makes such a statement.
Shirt and Footwear @zara Pants @marksandspencerindia
✨ #greenbeautyblogger #sass #sasswars #attitudegirls #greenfashion #wearinggreen #attitudeiseverything #AJ https://t.co/s2dn5SxcPi",en,1559061807125262337,everyone,,,Twitter for Android,847306909266788355,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",
1558920102531239936,2022-08-14T20:54:50.000Z,We’ve just had the most amazing conversation on The G&amp;T Show about @eddieizzard and THAT @ZARA DRESS!!!!! Me and @LGBwiththeT love you Eddie and you looked FIERCE!!!! Listen in on @transradiouk,en,1558920102531239936,everyone,,,Twitter for iPhone,310468967,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",
1558917688252141568,2022-08-14T20:45:14.000Z,"Hey @eddieizzard we LOVE you! Please come chat to me and @LGBwiththeT and tell us how fabulous you are….,.listen in now as we’re talking about your @ZARA dress ❤️❤️ https://t.co/EqEO5PcgAj",en,1558917688252141568,everyone,,,Twitter for iPhone,310468967,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",
1558917003758428161,2022-08-14T20:42:31.000Z,We’re about to discuss the fact @eddieizzard wears THAT @ZARA dress better than anyone else and looks FIERCE!!!! Me &amp; @LGBwiththeT both love you Eddie and we wish you’d come on our show! Tune in now on @transradiouk,en,1558917003758428161,everyone,,,Twitter for iPhone,310468967,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 13, 'quote_count': 0}",
1558878565722210306,2022-08-14T18:09:47.000Z,We should be able to wash and dry clothes without them effing shrinking with how expensive they are. 😠 @ZARA I’m talking to you. $40 dollars worth of my kids shirts shrunk down 3 sizes. I can understand a little shrinkage but seriously???,en,1558878565722210306,everyone,,,Twitter for iPhone,1500447918,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
1558839899670839298,2022-08-14T15:36:08.000Z,Moral of the story is don’t by any cheapo Jewellery from @riverisland as it will ruin your brand new T shirt from @ZARA. 😭,en,1558839899670839298,everyone,,,Twitter for iPhone,2917832279,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1558807106140209152,2022-08-14T13:25:49.000Z,"@ZARA hi! I’ve just ordered a dress next day and it’s arrived with a rip. I’ll order another and send this one back, but is it possible to get the postage refunded as well as now I’ll have to pay another £7 for next day https://t.co/Euarn6UeLz",en,1558807106140209152,everyone,,346742249,Twitter for iPhone,1426548813632782345,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
1558516807362805761,2022-08-13T18:12:17.000Z,@ZARA the strap on my dress has just broke- first time I’ve worn it and it’s a L for a 8/10 sort it out pls,en,1558516807362805761,everyone,,346742249,Twitter for iPhone,1233818680938680320,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",
1558516329472311298,2022-08-13T18:10:23.000Z,@ZARA strap on me dress just broke first time ive worn it and it’s a L for a 8/10 sort it out pls,en,1558516329472311298,everyone,,346742249,Twitter for iPhone,1233818680938680320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1558485042980061185,2022-08-13T16:06:04.000Z,@ZARA It’s 2022! We need to see diverse body type modelling your clothes.,en,1558485042980061185,everyone,,346742249,Twitter for iPhone,247328652,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1558484879423053824,2022-08-13T16:05:25.000Z,@ZARA You guys are brilliant! You found a way to reduce labor cost. All the fitting rooms are permanently closed at all the seattle area locations. Zara employees are now telling customers to buy clothes and try them on at @hm and come back if it doesn’t fit😂. This is genius! https://t.co/3ZU68lLJlh,en,1557773881347170304,everyone,"[{'type': 'replied_to', 'id': '1557773881347170304'}]",346742249,Twitter for iPhone,1234178884066656256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
1558376223784460289,2022-08-13T08:53:39.000Z,"On the go as couture week gets bigger &amp; better 💫

Outfit details:
Top: @sesaaofficial
Pants: @pinkporcupines
Bag: @lalingilondon
Shoes: @zara

Hair by @beforebeautybar

#MasoomTakesCoutureWeek https://t.co/yVs5CJTYX2",en,1558376223784460289,everyone,,,Twitter for Android,1518813439627571200,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
1558364150518239232,2022-08-13T08:05:41.000Z,"@avneetkaur_13 I wore this outfit yesterday but I’m going different places today…
So it’s okay!🖤 #ootd 

Top- @baesic_world 
Pants- @zara 
Jacket- @hm 
Shoes- @nike 
Bag- @gucci 
Shades- @versace
📸- @krupalakhanii.16 https://t.co/f7vniXU3EG",en,1558364150518239232,everyone,,788062532682420224,Instagram,1437114287894327298,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'place_id': '7929cea6bd5b32bd', 'coordinates': {'type': 'Point', 'coordinates': [72.8764, 19.0627]}}"
